Species
Gallotia simonyi
Tiliqua adelaidensis
Varanus bengalensis
Varanus flavescens
Varanus griseus
Varanus komodoensis
Varanus nebulosus
Shinisaurus crocodilurus
Acrantophis
Boa constrictor occidentalis
Chilabothrus monensis
Chilabothrus subflavus
Sanzinia madagascariensis
Bolyeria multocarinata
Casarea dussumieri
Python molurus
Vipera ursinii
Pseudemydura umbrina
Cheloniidae
Dermochelys coriacea
Glyptemys muhlenbergii
Terrapene coahuila
Batagur affinis
Batagur baska
Batagur kachuga
Cuora bourreti
Cuora galbinifrons
Cuora picturata
Geoclemys hamiltonii
Mauremys annamensis
Melanochelys tricarinata
Morenia ocellata
Pangshura tecta
Kinosternon cora
Kinosternon vogti
Platysternidae
Astrochelys radiata
Astrochelys yniphora
Chelonoidis niger
Geochelone elegans
Geochelone platynota
Gopherus flavomarginatus
Malacochersus tornieri
Psammobates geometricus
Pyxis arachnoides
Pyxis planicauda
Testudo kleinmanni
Apalone spinifera atra
Chitra chitra
Chitra vandijki
Nilssonia gangetica
Nilssonia hurum
Nilssonia leithii
Nilssonia nigricans
Altiphrynoides
Atelopus zeteki
Incilius periglenes
Nectophrynoides
Nimbaphrynoides
Sclerophrys channingi
Sclerophrys superciliaris
Telmatobius culeus
Andrias
Neurergus kaiseri
Pristidae
Acipenser brevirostrum
Acipenser sturio
Chasmistes cujus
Probarbus jullieni
Scleropages formosus
Scleropages inscriptus
Totoaba macdonaldi
Pangasianodon gigas
Latimeria
Achillides chikae chikae
Achillides chikae hermeli
Ornithoptera alexandrae
Papilio homerus
Parides burchellanus
Conradilla caelata
Dromus dromas
Epioblasma curtisii
Epioblasma florentina
Epioblasma sampsonii
Epioblasma sulcata perobliqua
Epioblasma torulosa gubernaculum
Epioblasma torulosa torulosa
Epioblasma turgidula
Epioblasma walkeri
Fusconaia cuneolus
Fusconaia edgariana
Lampsilis higginsii
Lampsilis orbiculata orbiculata
Lampsilis satur
Lampsilis virescens
Plethobasus cicatricosus
Plethobasus cooperianus
Pleurobema plenum
Potamilus capax
Quadrula intermedia
Quadrula sparsa
Toxolasma cylindrella
Unio nickliniana
Unio tampicoensis tecomatensis
Villosa trabalis
Achatinella
Polymita
Agave parviflora
Pachypodium ambongense
Pachypodium baronii
Pachypodium decaryi
Pachypodium windsorii
Araucaria araucana
Ariocarpus
Astrophytum asterias
Aztekium ritteri
Coryphantha werdermannii
Discocactus
Echinocereus ferreiranus ssp. lindsayorum
Echinocereus schmollii
Escobaria minima
Escobaria sneedii
Mammillaria pectinifera
Melocactus conoideus
Melocactus deinacanthus
Melocactus glaucescens
Melocactus paucispinus
Obregonia denegrii
Pachycereus militaris
Pediocactus bradyi
Pediocactus knowltonii
Pediocactus paradinei
Pediocactus peeblesianus
Pediocactus sileri
Pelecyphora
Sclerocactus blainei
Sclerocactus brevihamatus ssp. tobuschii
Sclerocactus brevispinus
Sclerocactus cloverae
Sclerocactus erectocentrus
Sclerocactus glaucus
Sclerocactus mariposensis
Sclerocactus mesae-verdae
Sclerocactus nyensis
Sclerocactus papyracanthus
Sclerocactus pubispinus
Sclerocactus sileri
Sclerocactus wetlandicus
Sclerocactus wrightiae
Strombocactus
Turbinicarpus
Uebelmannia
Saussurea costus
Fitzroya cupressoides
Pilgerodendron uviferum
Cycas beddomei
Euphorbia ambovombensis
Euphorbia capsaintemariensis
